# 相同theta值(90.0度)下不同能量的sigma数据
# 列1: 能量 (Energy)
# 列2: sigma值
# Energy	sigma
0.1	1.0
0.145	1.0
0.19	0.9999
0.235	0.9998
0.28	0.9994
0.325	0.9988
0.37	0.9977
0.415	0.9962
0.46	0.9942
0.505	0.9915
0.55	0.9882
0.595	0.9842
0.64	0.9795
0.685	0.9741
0.73	0.968
0.775	0.9613
0.82	0.9539
0.865	0.9458
0.91	0.9372
0.955	0.928
1.0	0.9182
1.06	0.9044
1.12	0.8899
1.18	0.8747
1.24	0.859
1.3	0.8427
1.36	0.8262
1.42	0.8094
1.48	0.7924
1.54	0.7753
1.6	0.7583
1.66	0.7414
1.72	0.7247
1.78	0.7082
1.84	0.692
1.9	0.6761
1.96	0.6607
2.02	0.6457
2.08	0.6313
2.14	0.6174
2.2	0.604
2.26	0.5913
2.32	0.5791
2.38	0.5676
2.44	0.5568
2.5	0.5467
2.56	0.5372
2.62	0.5284
2.68	0.5203
2.74	0.5129
2.8	0.5062
2.86	0.5001
2.92	0.4948
2.98	0.4902
3.04	0.4862
3.1	0.4829
3.16	0.4803
3.22	0.4783
3.28	0.477
3.34	0.4763
3.4	0.4763
3.46	0.4768
3.52	0.478
3.58	0.4797
3.64	0.482
3.7	0.4849
3.76	0.4884
3.82	0.4923
3.88	0.4968
3.94	0.5018
4.0	0.5073
